DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,NK,NK,LAS,NV,Nevada,ATL,GA,Georgia,2330,2323,-7,2300-2359,14,2337,557,48,645,20,0600-0659,0,,0,235,262,200,1,1747,0,0,20,0,0,
1,DL,DL,MIA,FL,Florida,MCO,FL,Florida,2057,2131,34,2000-2059,20,2151,2229,8,2237,32,2200-2259,0,,0,68,66,38,1,192,32,0,0,0,0,
1,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,800,832,32,0800-0859,13,845,950,8,958,17,0900-0959,0,,0,101,86,65,1,404,17,0,0,0,0,
1,DL,DL,ATL,GA,Georgia,MCO,FL,Florida,815,852,37,0800-0859,16,908,1004,11,1015,27,0900-0959,0,,0,93,83,56,1,404,27,0,0,0,0,
1,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,1520,1550,30,1500-1559,20,1610,1715,4,1719,21,1600-1659,0,,0,98,89,65,1,404,0,0,0,0,21,
1,DL,DL,ATL,GA,Georgia,MCO,FL,Florida,2125,2159,34,2100-2159,16,2215,2309,9,2318,24,2200-2259,0,,0,89,79,54,1,404,24,0,0,0,0,
1,DL,DL,ATL,GA,Georgia,MCO,FL,Florida,919,944,25,0900-0959,14,958,1054,33,1127,37,1000-1059,0,,0,91,103,56,1,404,25,0,12,0,0,
1,DL,DL,ATL,GA,Georgia,MCO,FL,Florida,1238,1327,49,1200-1259,9,1336,1432,9,1441,32,1400-1459,0,,0,91,74,56,1,404,20,0,0,0,12,
1,DL,DL,MCO,FL,Florida,ATL,GA,Georgia,900,1047,107,0900-0959,17,1104,1208,3,1211,93,1000-1059,0,,0,98,84,64,1,404,93,0,0,0,0,
1,DL,DL,ATL,GA,Georgia,ORD,IL,Illinois,1805,1821,16,1800-1859,22,1843,1918,10,1928,15,1900-1959,0,,0,128,127,95,1,606,0,0,0,0,15,
1,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,805,839,34,0800-0859,15,854,1023,6,1029,22,1000-1059,0,,0,122,110,89,1,594,22,0,0,0,0,
1,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,1340,1412,32,1300-1359,16,1428,1553,6,1559,17,1500-1559,0,,0,122,107,85,1,594,7,0,0,0,10,
1,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,1526,1622,56,1500-1559,17,1639,1815,4,1819,49,1700-1759,0,,0,124,117,96,1,594,38,0,0,0,11,
1,DL,DL,MIA,FL,Florida,ATL,GA,Georgia,1641,1741,60,1600-1659,22,1803,1933,6,1939,55,1800-1859,0,,0,123,118,90,1,594,55,0,0,0,0,
1,DL,DL,DEN,CO,Colorado,LAX,CA,California,1256,1329,33,1200-1259,12,1341,1437,10,1447,17,1400-1459,0,,0,154,138,116,1,862,0,0,0,0,17,
1,DL,DL,LAX,CA,California,DEN,CO,Colorado,820,853,33,0800-0859,35,928,1233,9,1242,46,1100-1159,0,,0,156,169,125,1,862,33,0,13,0,0,
1,DL,DL,MIA,FL,Florida,JFK,NY,New York,1955,2027,32,1900-1959,14,2041,2320,11,2331,27,2300-2359,0,,0,189,184,159,1,1089,2,0,0,0,25,
1,UA,UA,DFW,TX,Texas,ORD,IL,Illinois,1735,1729,-6,1700-1759,16,1745,1934,19,1953,-9,2000-2059,0,,0,147,144,109,1,802,,,,,,
