,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
231277,12,5,F9,F9,F9,DEN,CO,Colorado,DFW,TX,Texas,0.0,0.0,1600-1659,-16.0,0.0,1900-1959,0.0,641.0
1459,11,4,UA,YV,YV,DFW,TX,Texas,DEN,CO,Colorado,-4.0,0.0,0001-0559,-25.0,0.0,0700-0759,0.0,641.0
149684,19,5,DL,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,2.0,2.0,1800-1859,-7.0,0.0,2100-2159,0.0,731.0
510765,29,1,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-1.0,0.0,1400-1459,-11.0,0.0,1500-1559,0.0,641.0
458608,31,3,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-6.0,0.0,1200-1259,-22.0,0.0,1300-1359,0.0,641.0
155599,25,4,DL,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,17.0,17.0,2000-2059,-2.0,0.0,2200-2259,0.0,1199.0
528003,22,1,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,21.0,21.0,1200-1259,30.0,30.0,1500-1559,0.0,641.0
517291,1,1,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,-2.0,0.0,1800-1859,-3.0,0.0,2100-2159,0.0,641.0
484590,28,7,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,-4.0,0.0,1400-1459,-15.0,0.0,1700-1759,0.0,731.0
529555,13,6,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,25.0,25.0,1600-1659,14.0,14.0,1900-1959,0.0,731.0
149666,1,1,DL,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-6.0,0.0,1600-1659,-15.0,0.0,1900-1959,0.0,731.0
20373,10,3,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,10.0,10.0,1000-1059,13.0,13.0,1200-1259,0.0,1199.0
236234,1,1,F9,F9,F9,DEN,CO,Colorado,DFW,TX,Texas,-1.0,0.0,1500-1559,-7.0,0.0,1800-1859,0.0,641.0
484181,26,5,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,-5.0,0.0,1200-1259,-2.0,0.0,1500-1559,0.0,731.0
104123,8,1,WN,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,-4.0,0.0,0600-0659,-18.0,0.0,0800-0859,0.0,1199.0
180049,23,2,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,22.0,22.0,1600-1659,17.0,17.0,2100-2159,0.0,1199.0
529539,25,4,AA,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,28.0,28.0,2000-2059,7.0,7.0,2100-2159,0.0,731.0
155543,17,3,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,8.0,8.0,1100-1159,-14.0,0.0,1500-1559,0.0,1199.0
527999,18,4,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,19.0,19.0,1200-1259,6.0,6.0,1500-1559,0.0,641.0
528021,16,2,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,11.0,11.0,1000-1059,6.0,6.0,1100-1159,0.0,641.0
236221,19,5,F9,F9,F9,DFW,TX,Texas,DEN,CO,Colorado,-10.0,0.0,1600-1659,-6.0,0.0,1700-1759,0.0,641.0
474199,2,2,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,-2.0,0.0,0001-0559,-20.0,0.0,0800-0859,0.0,641.0
484418,22,1,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-7.0,0.0,0700-0759,-19.0,0.0,0800-0859,0.0,641.0
53780,19,5,WN,WN,WN,DEN,CO,Colorado,ATL,GA,Georgia,-5.0,0.0,0001-0559,-21.0,0.0,1000-1059,0.0,1199.0
422909,5,5,UA,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,-7.0,0.0,1600-1659,-15.0,0.0,1700-1759,0.0,1199.0
515915,2,2,AA,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,38.0,38.0,0800-0859,33.0,33.0,1100-1159,0.0,731.0
484138,14,7,AA,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,40.0,40.0,1600-1659,34.0,34.0,1800-1859,0.0,731.0
220080,13,6,DL,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-5.0,0.0,0900-0959,-20.0,0.0,1200-1259,0.0,731.0
194531,21,7,DL,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,0.0,0.0,1300-1359,-12.0,0.0,1500-1559,0.0,731.0
527966,25,4,AA,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-6.0,0.0,0800-0859,-14.0,0.0,0900-0959,0.0,641.0
156655,27,6,DL,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,-1.0,0.0,1600-1659,-12.0,0.0,2100-2159,0.0,1199.0
463368,11,4,AA,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,-4.0,0.0,0700-0759,10.0,10.0,0900-0959,0.0,731.0
152076,25,4,DL,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,20.0,20.0,1500-1559,22.0,22.0,1600-1659,0.0,731.0
527991,10,3,AA,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,3.0,3.0,1200-1259,18.0,18.0,1500-1559,0.0,641.0
