,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
468094,17,3,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,45.0,45.0,2000-2059,28.0,28.0,0001-0559,0.0,936.0
410183,8,1,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,-5.0,0.0,0800-0859,-10.0,0.0,1000-1059,0.0,1199.0
500773,9,2,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,22.0,22.0,0001-0559,30.0,30.0,0800-0859,0.0,936.0
152808,17,3,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,0.0,0.0,1000-1059,-10.0,0.0,1100-1159,0.0,1199.0
525430,27,6,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,4.0,4.0,1100-1159,-5.0,0.0,1200-1259,0.0,599.0
37723,1,1,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,3.0,3.0,0600-0659,-7.0,0.0,0700-0759,0.0,1199.0
485876,27,6,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,332.0,332.0,1200-1259,334.0,334.0,1400-1459,0.0,802.0
525437,10,3,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,0.0,0.0,1300-1359,-3.0,0.0,1600-1659,0.0,599.0
204520,31,3,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,-6.0,0.0,0001-0559,-18.0,0.0,0800-0859,0.0,606.0
420167,6,6,UA,UA,CLT,NC,North Carolina,DEN,CO,Colorado,121.0,121.0,1600-1659,131.0,131.0,1700-1759,0.0,1337.0
470275,25,4,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,-5.0,0.0,0700-0759,-3.0,0.0,1000-1059,0.0,731.0
233495,1,1,F9,F9,DEN,CO,Colorado,ATL,GA,Georgia,-7.0,0.0,0700-0759,-13.0,0.0,1100-1159,0.0,1199.0
304002,13,6,AA,OH,ATL,GA,Georgia,CLT,NC,North Carolina,-4.0,0.0,1500-1559,-15.0,0.0,1600-1659,0.0,226.0
274584,8,1,NK,NK,DFW,TX,Texas,ATL,GA,Georgia,-5.0,0.0,1500-1559,-19.0,0.0,1800-1859,0.0,731.0
493159,11,4,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,7.0,7.0,1600-1659,6.0,6.0,1900-1959,0.0,802.0
170286,7,7,DL,DL,ATL,GA,Georgia,CLT,NC,North Carolina,-6.0,0.0,1700-1759,-25.0,0.0,1900-1959,0.0,226.0
413073,6,6,UA,UA,DFW,TX,Texas,ORD,IL,Illinois,55.0,55.0,0900-0959,36.0,36.0,1200-1259,0.0,802.0
485194,23,2,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,-8.0,0.0,0800-0859,25.0,25.0,1100-1159,0.0,599.0
480032,23,2,AA,AA,DEN,CO,Colorado,CLT,NC,North Carolina,127.0,127.0,2300-2359,116.0,116.0,0001-0559,0.0,1337.0
210654,25,4,DL,DL,ORD,IL,Illinois,ATL,GA,Georgia,1.0,1.0,0900-0959,6.0,6.0,1200-1259,0.0,606.0
458833,27,6,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,-6.0,0.0,0001-0559,-20.0,0.0,0700-0759,0.0,936.0
408157,9,2,UA,UA,DEN,CO,Colorado,CLT,NC,North Carolina,-5.0,0.0,1000-1059,-6.0,0.0,1500-1559,0.0,1337.0
493950,27,6,AA,AA,ORD,IL,Illinois,ATL,GA,Georgia,0.0,0.0,1800-1859,9.0,9.0,2200-2259,0.0,606.0
528133,11,4,AA,AA,DEN,CO,Colorado,ORD,IL,Illinois,0.0,0.0,1400-1459,12.0,12.0,1700-1759,0.0,888.0
386987,27,6,UA,UA,DEN,CO,Colorado,ATL,GA,Georgia,-1.0,0.0,1300-1359,11.0,11.0,1800-1859,0.0,1199.0
381303,13,6,UA,UA,CLT,NC,North Carolina,ORD,IL,Illinois,-5.0,0.0,0600-0659,-11.0,0.0,0700-0759,0.0,599.0
524153,10,3,AA,AA,DFW,TX,Texas,DEN,CO,Colorado,-1.0,0.0,1900-1959,3.0,3.0,2000-2059,0.0,641.0
516183,11,4,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,-4.0,0.0,1300-1359,2.0,2.0,1500-1559,0.0,1337.0
484132,8,1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,54.0,54.0,1600-1659,54.0,54.0,1800-1859,0.0,731.0
484161,6,6,AA,AA,DFW,TX,Texas,ATL,GA,Georgia,-2.0,0.0,1200-1259,-19.0,0.0,1500-1559,0.0,731.0
153917,30,2,DL,DL,ATL,GA,Georgia,DFW,TX,Texas,-3.0,0.0,1800-1859,-14.0,0.0,1900-1959,0.0,731.0
219517,26,5,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-10.0,0.0,0700-0759,1.0,1.0,1000-1059,0.0,731.0
156618,25,4,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,12.0,12.0,1500-1559,12.0,12.0,2000-2059,0.0,1199.0
202784,17,3,DL,DL,ATL,GA,Georgia,CLT,NC,North Carolina,-9.0,0.0,1900-1959,-8.0,0.0,2000-2059,0.0,226.0
467892,27,6,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,-3.0,0.0,1400-1459,-16.0,0.0,1800-1859,0.0,936.0
387784,27,6,UA,UA,DEN,CO,Colorado,ORD,IL,Illinois,-5.0,0.0,1500-1559,-18.0,0.0,1900-1959,0.0,888.0
482050,29,1,AA,AA,CLT,NC,North Carolina,ORD,IL,Illinois,-2.0,0.0,2200-2259,-22.0,0.0,2300-2359,0.0,599.0
507878,28,7,AA,AA,ATL,GA,Georgia,ORD,IL,Illinois,19.0,19.0,0600-0659,21.0,21.0,0700-0759,0.0,606.0
219511,20,6,DL,DL,DFW,TX,Texas,ATL,GA,Georgia,-6.0,0.0,0700-0759,-22.0,0.0,1000-1059,0.0,731.0
392544,13,6,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,183.0,183.0,0800-0859,181.0,181.0,1000-1059,0.0,888.0
382686,2,2,UA,UA,ORD,IL,Illinois,DEN,CO,Colorado,-2.0,0.0,1300-1359,-27.0,0.0,1500-1559,0.0,888.0
384876,1,1,UA,UA,DEN,CO,Colorado,DFW,TX,Texas,-2.0,0.0,0900-0959,-4.0,0.0,1200-1259,0.0,641.0
304166,28,7,AA,OH,CLT,NC,North Carolina,ATL,GA,Georgia,-7.0,0.0,1300-1359,-3.0,0.0,1400-1459,0.0,226.0
229416,10,3,F9,F9,DFW,TX,Texas,DEN,CO,Colorado,-10.0,0.0,1400-1459,-8.0,0.0,1600-1659,0.0,641.0
485189,18,4,AA,AA,ORD,IL,Illinois,CLT,NC,North Carolina,-5.0,0.0,0800-0859,-5.0,0.0,1100-1159,0.0,599.0
155555,29,1,DL,DL,DEN,CO,Colorado,ATL,GA,Georgia,15.0,15.0,1100-1159,5.0,5.0,1500-1559,0.0,1199.0
116567,24,3,WN,WN,ATL,GA,Georgia,DEN,CO,Colorado,15.0,15.0,1000-1059,-12.0,0.0,1200-1259,0.0,1199.0
477217,8,1,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,9.0,9.0,1600-1659,31.0,31.0,1800-1859,0.0,936.0
421500,5,5,UA,UA,ORD,IL,Illinois,DFW,TX,Texas,0.0,0.0,1300-1359,-4.0,0.0,1500-1559,0.0,802.0
70986,5,5,WN,WN,DEN,CO,Colorado,ORD,IL,Illinois,-7.0,0.0,0600-0659,-10.0,0.0,0900-0959,0.0,888.0
