,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
239620,4,4,G4,G4,IAG,NY,New York,PGD,FL,Florida,2.0,2.0,1900-1959,-4.0,0.0,2200-2259,0.0,1129.0
241893,25,4,G4,G4,SWF,NY,New York,PIE,FL,Florida,-4.0,0.0,1100-1159,-26.0,0.0,1500-1559,0.0,1055.0
561549,2,2,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,8.0,8.0,0900-0959,-4.0,0.0,1100-1159,0.0,329.0
561952,4,4,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,18.0,18.0,0900-0959,36.0,36.0,1100-1159,0.0,329.0
564121,16,2,AS,QX,ANC,AK,Alaska,BRW,AK,Alaska,,,0700-0759,,,0900-0959,1.0,725.0
240087,5,5,G4,G4,IAG,NY,New York,PGD,FL,Florida,-25.0,0.0,2000-2059,-46.0,0.0,2300-2359,0.0,1129.0
453311,23,2,DL,9E,DTW,MI,Michigan,BGM,NY,New York,620.0,620.0,2100-2159,624.0,624.0,2200-2259,0.0,378.0
241496,26,5,G4,G4,MYR,SC,South Carolina,SWF,NY,New York,14.0,14.0,1500-1559,25.0,25.0,1700-1759,0.0,601.0
381289,14,7,UA,UA,SPN,TT,U.S. Pacific Trust Territories and Possessions,GUM,TT,U.S. Pacific Trust Territories and Possessions,-22.0,0.0,0900-0959,-31.0,0.0,1000-1059,0.0,129.0
239607,15,1,G4,G4,HGR,MD,Maryland,SFB,FL,Florida,26.0,26.0,2000-2059,57.0,57.0,2200-2259,0.0,780.0
553525,18,4,AS,AS,ANC,AK,Alaska,BRW,AK,Alaska,2.0,2.0,1400-1459,3.0,3.0,1600-1659,0.0,725.0
356661,31,3,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-9.0,0.0,0600-0659,-16.0,0.0,0800-0859,0.0,200.0
336354,23,2,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-10.0,0.0,1800-1859,-18.0,0.0,1900-1959,0.0,283.0
244882,18,4,G4,G4,TOL,OH,Ohio,PIE,FL,Florida,-7.0,0.0,1900-1959,7.0,7.0,2100-2159,0.0,945.0
371777,30,2,UA,UA,SPN,TT,U.S. Pacific Trust Territories and Possessions,GUM,TT,U.S. Pacific Trust Territories and Possessions,-13.0,0.0,0900-0959,-21.0,0.0,1000-1059,0.0,129.0
564027,15,1,AS,QX,AKN,AK,Alaska,ANC,AK,Alaska,79.0,79.0,1700-1759,69.0,69.0,1800-1859,0.0,288.0
557391,25,4,AS,AS,ANC,AK,Alaska,BRW,AK,Alaska,1.0,1.0,1400-1459,-10.0,0.0,1600-1659,0.0,725.0
353126,24,3,DL,OO,SLC,UT,Utah,EKO,NV,Nevada,-3.0,0.0,2100-2159,-25.0,0.0,2100-2159,0.0,200.0
293674,8,1,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,2.0,2.0,1200-1259,-13.0,0.0,1500-1559,0.0,823.0
242613,21,7,G4,G4,CKB,WV,West Virginia,SFB,FL,Florida,-23.0,0.0,2100-2159,-21.0,0.0,2300-2359,0.0,727.0
451284,3,3,DL,9E,BGM,NY,New York,LGA,NY,New York,-5.0,0.0,0700-0759,-14.0,0.0,0800-0859,0.0,147.0
243732,25,4,G4,G4,TOL,OH,Ohio,PGD,FL,Florida,-7.0,0.0,1100-1159,-9.0,0.0,1400-1459,0.0,1016.0
241930,10,3,G4,G4,IAG,NY,New York,SFB,FL,Florida,0.0,0.0,1200-1259,-25.0,0.0,1400-1459,0.0,996.0
241622,3,3,G4,G4,PGD,FL,Florida,PSM,NH,New Hampshire,-12.0,0.0,0800-0859,-24.0,0.0,1100-1159,0.0,1279.0
563803,14,7,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,-6.0,0.0,1000-1059,-13.0,0.0,1100-1159,0.0,329.0
565057,21,7,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,23.0,23.0,1200-1259,20.0,20.0,1300-1359,0.0,329.0
245290,21,7,G4,G4,PIE,FL,Florida,HGR,MD,Maryland,-5.0,0.0,0800-0859,-16.0,0.0,1000-1059,0.0,861.0
555802,22,1,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,37.0,37.0,1700-1759,41.0,41.0,1900-1959,0.0,725.0
241111,7,7,G4,G4,SMX,CA,California,LAS,NV,Nevada,-1.0,0.0,1400-1459,-3.0,0.0,1600-1659,0.0,310.0
566297,28,7,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,99.0,99.0,1000-1059,85.0,85.0,1100-1159,0.0,329.0
566816,31,3,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,152.0,152.0,1200-1259,150.0,150.0,1300-1359,0.0,329.0
371776,30,2,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-12.0,0.0,0800-0859,-14.0,0.0,0800-0859,0.0,129.0
344508,8,1,UA,OO,SFO,CA,California,OTH,OR,Oregon,-4.0,0.0,1100-1159,-5.0,0.0,1200-1259,0.0,412.0
239108,15,1,G4,G4,PGD,FL,Florida,IAG,NY,New York,-14.0,0.0,0700-0759,-27.0,0.0,1000-1059,0.0,1129.0
364164,7,7,DL,OO,SLC,UT,Utah,EKO,NV,Nevada,-4.0,0.0,2100-2159,-31.0,0.0,2100-2159,0.0,200.0
239346,6,6,G4,G4,IAG,NY,New York,PGD,FL,Florida,35.0,35.0,2000-2059,,,2300-2359,0.0,1129.0
